Observation_$0_0,decoy_$1__0
Observation_$220_220,decoy_$221__0
Observation_$220_221,decoy_$221__1
Observation_$222_222,decoy_$223__0
Observation_$222_223,decoy_$223__1
Observation_$224_224,decoy_$225__0
Observation_$224_225,decoy_$225__1
Observation_$226_226,decoy_$227__0
Observation_$226_227,decoy_$227__1
Observation_$228_228,decoy_$229__0
Observation_$228_229,decoy_$229__1
Observation_$230_230,decoy_$231__0
Observation_$230_231,decoy_$231__1
Observation_$232_232,decoy_$233__0
Observation_$232_233,decoy_$233__1
Observation_$234_234,decoy_$235__0
Observation_$234_235,decoy_$235__1
Observation_$236_236,decoy_$237__0
Observation_$236_237,decoy_$237__1
Observation_$238_238,decoy_$239__0
Observation_$238_239,decoy_$239__1
Observation_$240_240,decoy_$241__0
Observation_$240_241,decoy_$241__1
Observation_$242_242,decoy_$243__0
Observation_$242_243,decoy_$243__1
Observation_$244_244,decoy_$245__0
Observation_$244_245,decoy_$245__1
Observation_$246_246,decoy_$247__0
Observation_$246_247,decoy_$247__1
Observation_$248_248,decoy_$249__0
Observation_$248_249,decoy_$249__1
Observation_$250_250,decoy_$251__0
Observation_$250_251,decoy_$251__1
Observation_$252_252,decoy_$253__0
Observation_$252_253,decoy_$253__1
Observation_$254_254,decoy_$255__0
Observation_$254_255,decoy_$255__1
Observation_$256_256,decoy_$257__0
Observation_$256_257,decoy_$257__1
Observation_$258_258,decoy_$259__0
Observation_$258_259,decoy_$259__1
Observation_$260_260,decoy_$261__0
Observation_$260_261,decoy_$261__1
Observation_$262_262,decoy_$263__0
Observation_$262_263,decoy_$263__1
Observation_$264_264,decoy_$265__0
Observation_$264_265,decoy_$265__1
Observation_$266_266,decoy_$267__0
Observation_$266_267,decoy_$267__1
Observation_$268_268,decoy_$269__0
Observation_$268_269,decoy_$269__1
Observation_$270_270,decoy_$271__0
Observation_$270_271,decoy_$271__1
Observation_$272_272,decoy_$273__0
Observation_$272_273,decoy_$273__1
Observation_$274_274,decoy_$275__0
Observation_$274_275,decoy_$275__1
Observation_$276_276,decoy_$277__0
Observation_$276_277,decoy_$277__1
Observation_$278_278,decoy_$279__0
Observation_$278_279,decoy_$279__1
Observation_$280_280,decoy_$281__0
Observation_$280_281,decoy_$281__1
Observation_$282_282,decoy_$283__0
Observation_$282_283,decoy_$283__1
Observation_$284_284,decoy_$285__0
Observation_$284_285,decoy_$285__1
Observation_$286_286,decoy_$287__0
Observation_$286_287,decoy_$287__1
Observation_$288_288,decoy_$289__0
Observation_$288_289,decoy_$289__1
Observation_$290_290,decoy_$291__0
Observation_$290_291,decoy_$291__1
Observation_$292_292,decoy_$293__0
Observation_$292_293,decoy_$293__1
Observation_$294_294,decoy_$295__0
Observation_$294_295,decoy_$295__1
Observation_$296_296,decoy_$297__0
Observation_$296_297,decoy_$297__1
Observation_$298_298,decoy_$299__0
Observation_$298_299,decoy_$299__1
Observation_$300_300,decoy_$301__0
Observation_$300_301,decoy_$301__1
Observation_$302_302,decoy_$303__0
Observation_$302_303,decoy_$303__1
Observation_$304_304,decoy_$305__0
Observation_$304_305,decoy_$305__1
Observation_$306_306,decoy_$307__0
Observation_$306_307,decoy_$307__1
Observation_$308_308,decoy_$309__0
Observation_$308_309,decoy_$309__1
Observation_$310_310,decoy_$311__0
Observation_$310_311,decoy_$311__1
Observation_$312_312,decoy_$313__0
Observation_$312_313,decoy_$313__1
Observation_$314_314,decoy_$315__0
Observation_$314_315,decoy_$315__1
Observation_$316_316,decoy_$317__0
Observation_$316_317,decoy_$317__1
Observation_$318_318,decoy_$319__0
Observation_$318_319,decoy_$319__1
Observation_$320_320,decoy_$321__0
Observation_$320_321,decoy_$321__1
Observation_$322_322,decoy_$323__0
Observation_$322_323,decoy_$323__1
Observation_$324_324,decoy_$325__0
Observation_$324_325,decoy_$325__1
Observation_$326_326,decoy_$327__0
Observation_$326_327,decoy_$327__1
Observation_$328_328,decoy_$329__0
Observation_$328_329,decoy_$329__1
Observation_$330_330,decoy_$331__0
Observation_$330_331,decoy_$331__1
Observation_$332_332,decoy_$333__0
Observation_$332_333,decoy_$333__1
Observation_$334_334,decoy_$335__0
Observation_$334_335,decoy_$335__1
Observation_$336_336,decoy_$337__0
Observation_$336_337,decoy_$337__1
Observation_$338_338,decoy_$339__0
Observation_$338_339,decoy_$339__1
Observation_$340_340,decoy_$341__0
Observation_$340_341,decoy_$341__1
Observation_$342_342,decoy_$343__0
Observation_$342_343,decoy_$343__1
Observation_$344_344,decoy_$345__0
Observation_$344_345,decoy_$345__1
Observation_$346_346,decoy_$347__0
Observation_$346_347,decoy_$347__1
Observation_$348_348,decoy_$349__0
Observation_$348_349,decoy_$349__1
Observation_$350_350,decoy_$351__0
Observation_$350_351,decoy_$351__1
Observation_$352_352,decoy_$353__0
Observation_$352_353,decoy_$353__1
Observation_$354_354,decoy_$355__0
Observation_$354_355,decoy_$355__1
Observation_$356_356,decoy_$357__0
Observation_$356_357,decoy_$357__1
Observation_$358_358,decoy_$359__0
Observation_$358_359,decoy_$359__1
Observation_$360_360,decoy_$361__0
Observation_$360_361,decoy_$361__1
Observation_$362_362,decoy_$363__0
Observation_$362_363,decoy_$363__1
Observation_$364_364,decoy_$365__0
Observation_$364_365,decoy_$365__1
Observation_$366_366,decoy_$367__0
Observation_$366_367,decoy_$367__1
Observation_$368_368,decoy_$369__0
Observation_$368_369,decoy_$369__1
Observation_$370_370,decoy_$371__0
Observation_$370_371,decoy_$371__1
Observation_$372_372,decoy_$373__0
Observation_$372_373,decoy_$373__1
Observation_$374_374,decoy_$375__0
Observation_$374_375,decoy_$375__1
Observation_$376_376,decoy_$377__0
Observation_$376_377,decoy_$377__1
Observation_$378_378,decoy_$379__0
Observation_$378_379,decoy_$379__1
Observation_$380_380,decoy_$381__0
Observation_$380_381,decoy_$381__1
Observation_$382_382,decoy_$383__0
Observation_$382_383,decoy_$383__1
Observation_$384_384,decoy_$385__0
Observation_$384_385,decoy_$385__1
Observation_$386_386,decoy_$387__0
Observation_$386_387,decoy_$387__1
Observation_$388_388,decoy_$389__0
Observation_$388_389,decoy_$389__1
Observation_$390_390,decoy_$391__0
Observation_$390_391,decoy_$391__1
Observation_$392_392,decoy_$393__0
Observation_$392_393,decoy_$393__1
Observation_$394_394,decoy_$395__0
Observation_$394_395,decoy_$395__1
Observation_$396_396,decoy_$397__0
Observation_$396_397,decoy_$397__1
Observation_$398_398,decoy_$399__0
Observation_$398_399,decoy_$399__1
